model,loss,acc,val_loss,val_acc,epochs
AlexNet,1.722056876529347,0.5227272673086687,5.861125469207764,0.6363636255264282,1
AlexNet,1.6319901834834705,0.48863636363636365,5.861125469207764,0.6363636255264282,2
AlexNet,0.8403394276445563,0.6590909145095132,5.861125469207764,0.6363636255264282,3
AlexNet,0.5014416846362028,0.7727272781458768,5.861125469207764,0.6363636255264282,4
AlexNet,0.5696655240925875,0.7045454491268505,3.8422739505767822,0.6363636255264282,5
AlexNet,0.5418952351266687,0.6818181818181818,5.861125469207764,0.6363636255264282,6
AlexNet,0.40612563490867615,0.8068181818181818,4.953050136566162,0.6363636255264282,7
AlexNet,0.36111231554638257,0.8068181763995778,3.9485647678375244,0.6363636255264282,8
AlexNet,0.33893269300460815,0.8636363690549677,2.9640488624572754,0.6363636255264282,9
AlexNet,0.29387111284516076,0.8636363582177595,2.8320741653442383,0.6363636255264282,10
AlexNet,0.23281521824273196,0.9204545508731495,4.085375785827637,0.6363636255264282,11
AlexNet,0.25853588499806146,0.909090903672305,2.8950414657592773,0.5909090638160706,12
AlexNet,0.29712063615972345,0.8863636309450323,2.7184817790985107,0.5909090638160706,13
AlexNet,0.17189325798641553,0.9431818127632141,2.809295892715454,0.6363636255264282,14
AlexNet,0.21028057248754936,0.8863636363636364,1.6915099620819092,0.4545454680919647,15
AlexNet,0.24949085576967758,0.8863636363636364,1.7629469633102417,0.5454545617103577,16
AlexNet,0.07893789864399216,0.9659090909090909,2.028752326965332,0.5909090638160706,17
AlexNet,0.14151365784081546,0.9431818127632141,1.8345558643341064,0.6363636255264282,18
AlexNet,0.07525323195890947,0.9772727218541232,1.4106491804122925,0.5909090638160706,19
AlexNet,0.16811838881535965,0.9431818127632141,1.610800862312317,0.5909090638160706,20
AlexNet,0.05303617448291995,0.9886363636363636,2.105924367904663,0.6818181872367859,21
AlexNet,0.14699779586358505,0.9659090854904868,1.670525312423706,0.6818181872367859,22
AlexNet,0.08224250850352374,0.9659090854904868,1.484369158744812,0.6363636255264282,23
AlexNet,0.08971763368357312,0.9545454545454546,1.4746426343917847,0.6363636255264282,24
AlexNet,0.03649633343924175,1.0,1.5577425956726074,0.6818181872367859,25
AlexNet,0.05464465509761463,0.9886363636363636,1.2928394079208374,0.7272727489471436,26
AlexNet,0.04885408451611346,0.9772727218541232,1.0912913084030151,0.6818181872367859,27
AlexNet,0.03487926281311295,0.9772727218541232,1.3818320035934448,0.6818181872367859,28
AlexNet,0.033043628219853745,0.9886363636363636,1.2256242036819458,0.7272727489471436,29
AlexNet,0.011147694662213326,1.0,1.1540957689285278,0.7727272510528564,30
AlexNet,0.02582540718669241,0.9886363636363636,1.268473744392395,0.7272727489471436,31
AlexNet,0.014327824136919597,0.9886363636363636,1.3474103212356567,0.7272727489471436,32
AlexNet,0.0032413123090836134,1.0,1.403497576713562,0.7272727489471436,33
AlexNet,0.009658815286291594,1.0,1.4006966352462769,0.6818181872367859,34
AlexNet,0.0019316913306035779,1.0,1.3990459442138672,0.6818181872367859,35
AlexNet,0.0038039040413092484,1.0,1.4112706184387207,0.6818181872367859,36
AlexNet,0.0018316967894365503,1.0,1.4178528785705566,0.6818181872367859,37
AlexNet,0.0030250580854375253,1.0,1.4212982654571533,0.6818181872367859,38
AlexNet,0.0024964684615208007,1.0,1.4293795824050903,0.6818181872367859,39
AlexNet,0.0004921933868899941,1.0,1.4321637153625488,0.6818181872367859,40
AlexNet,0.006835627114262686,1.0,1.4686001539230347,0.7272727489471436,41
AlexNet,0.0007603564352559096,1.0,1.5005793571472168,0.7727272510528564,42
AlexNet,0.0035480122632262382,1.0,1.456597924232483,0.7727272510528564,43
AlexNet,0.0007047116946937008,1.0,1.419848918914795,0.7727272510528564,44
AlexNet,0.0007671275498895822,1.0,1.4310108423233032,0.7727272510528564,45
AlexNet,0.00023478700710587543,1.0,1.4392024278640747,0.7272727489471436,46
AlexNet,0.0002927966812752526,1.0,1.4463303089141846,0.7272727489471436,47
AlexNet,0.0002746902146926996,1.0,1.4473576545715332,0.7272727489471436,48
AlexNet,0.00030363283638673073,1.0,1.4485968351364136,0.7272727489471436,49
AlexNet,0.00035633521143939686,1.0,1.4540579319000244,0.7272727489471436,50
AlexNet,0.0008840056093917651,1.0,1.4604228734970093,0.7272727489471436,51
